Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Raya,ESP,GK,29-241,36.0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Saliba,FRA,DF,24-051,33.3,26,0.78,24,0,0,1,0,1,1,0.03,1,0,0,0,0,0
Rice,ENG,MF,26-120,29.4,106,3.61,57,33,4,5,5,2,10,0.34,6,2,1,1,0,0
Partey,GHA,"MF,DF",31-335,29.1,60,2.06,50,2,1,2,1,4,13,0.45,8,2,0,1,1,1
Magalhães,BRA,DF,27-146,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0
Trossard,BEL,FW,30-161,27.0,86,3.18,67,2,6,5,4,2,7,0.26,7,0,0,0,0,0
Timber,NED,DF,23-331,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0
Ødegaard,NOR,MF,26-148,24.7,120,4.87,98,13,2,5,2,0,16,0.65,13,2,0,1,0,0
Martinelli,BRA,"FW,MF",23-330,23.7,66,2.79,50,1,8,4,3,0,6,0.25,3,0,1,1,1,0
Havertz,GER,"FW,MF",25-337,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0
Saka,ENG,"FW,MF",23-251,18.1,109,6.04,66,19,11,9,4,0,22,1.22,13,5,2,1,1,0
Merino,ESP,"MF,FW",28-326,16.6,41,2.47,34,0,0,5,2,0,4,0.24,3,0,0,1,0,0
Lewis-Skelly,ENG,DF,18-230,14.0,25,1.79,18,0,1,0,6,0,0,0.0,0,0,0,0,0,0
White,ENG,DF,27-218,11.3,18,1.59,18,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Calafiori,ITA,DF,22-360,10.4,13,1.25,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0
Nwaneri,ENG,"FW,MF",18-054,9.1,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0
Jorginho,ITA,MF,33-145,7.8,12,1.55,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Kiwior,POL,DF,25-088,10.5,6,0.57,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jesus,BRA,FW,28-041,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0
Sterling,ENG,"FW,MF",30-157,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0
Zinchenko,UKR,"DF,MF",28-150,5.1,16,3.14,11,1,1,2,1,0,2,0.39,2,0,0,0,0,0
Tierney,SCO,"DF,FW",27-343,2.2,8,3.71,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Butler-Oyedeji,ENG,FW,22-130,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tomiyasu,JPN,DF,26-190,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nelson,ENG,FW,25-155,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
