Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Kilman,ENG,DF,27-356,35.2,4,0,0,22,13,2,3,38,22,0,0,0,143,109,53,67.3
Wan-Bissaka,ENG,DF,27-169,33.0,1,0,0,24,26,5,70,61,47,0,0,1,164,22,31,41.5
Bowen,ENG,"FW,MF",28-145,31.0,1,0,0,19,50,10,104,16,25,0,0,0,122,12,46,20.7
Kudus,GHA,"FW,MF",24-285,27.7,2,1,0,39,60,18,76,4,21,0,0,0,131,10,38,20.8
Souček,CZE,MF,30-076,26.9,8,0,0,44,24,4,13,19,20,1,0,0,59,98,69,58.7
Paquetá,BRA,"MF,FW",27-260,26.0,9,0,0,52,62,6,28,17,37,0,1,0,146,48,57,45.7
Palmieri,ITA,DF,30-284,23.5,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4
Areola,FRA,GK,32-076,24.1,0,0,0,0,0,0,0,0,2,0,0,1,28,2,0,100.0
Mavropanos,GRE,DF,27-154,21.7,6,1,1,17,14,3,2,39,22,0,0,0,70,56,24,70.0
Álvarez,MEX,MF,27-202,18.4,8,1,1,38,18,4,6,17,23,0,0,0,81,28,21,57.1
Todibo,FRA,DF,25-135,18.3,2,0,0,11,6,0,3,23,24,0,0,0,70,23,24,48.9
Rodríguez,ARG,MF,31-032,12.0,5,0,0,16,11,2,4,12,17,0,0,0,50,9,7,56.3
Soler,ESP,"MF,FW",28-132,15.3,5,0,0,24,18,0,31,8,11,0,0,0,64,9,11,45.0
Fabiański,POL,GK,40-026,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7
Antonio,JAM,FW,35-047,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6
Coufal,CZE,DF,32-265,10.6,4,0,0,21,14,0,23,8,12,0,0,1,33,21,13,61.8
Ward-Prowse,ENG,MF,30-194,10.0,2,0,0,10,2,0,42,6,13,0,0,0,47,7,5,58.3
Cresswell,ENG,DF,35-150,8.5,3,0,0,4,2,0,33,8,7,0,0,0,35,7,7,50.0
Summerville,NED,"FW,MF",23-196,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8
Scarles,ENG,DF,19-153,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0
Füllkrug,GER,FW,32-094,7.6,2,0,0,20,5,9,1,1,2,0,0,0,15,32,48,40.0
Ings,ENG,"FW,MF",32-295,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4
Irving,SCO,MF,25-001,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0
Ferguson,IRL,FW,20-207,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3
Guilherme,BRA,"MF,FW",19-094,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7
Orford,ENG,MF,19-085,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0
Casey,ENG,DF,20-198,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
