Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Gvardiol,CRO,DF,23-111,34.4,2,0,0,14,24,3,22,39,36,0,0,0,132,50,36,58.1
Haaland,NOR,FW,24-297,28.6,2,0,0,23,12,4,3,5,5,0,0,0,31,52,48,52.0
Silva,POR,"MF,FW",30-277,27.7,7,0,0,27,29,3,56,20,35,0,0,0,97,5,10,33.3
Ederson,BRA,GK,31-270,23.8,3,0,0,1,0,0,0,1,0,0,1,0,39,4,1,80.0
Kovačić,CRO,MF,31-008,23.7,5,0,0,23,25,0,0,22,38,0,0,0,113,10,9,52.6
Dias,POR,DF,28-000,23.2,4,0,0,12,8,0,3,18,10,0,1,1,73,34,33,50.7
Gündoğan,GER,MF,34-202,22.8,1,0,0,15,21,0,57,13,13,0,0,0,105,13,11,54.2
Lewis,ENG,"DF,MF",20-174,21.0,5,1,1,12,34,0,6,13,19,0,0,0,95,6,14,30.0
Akanji,SUI,DF,29-299,20.4,3,0,0,17,9,0,11,7,11,0,0,0,96,30,30,50.0
Sávio,BRA,"FW,MF",21-034,19.4,3,0,0,17,27,3,84,6,17,2,0,0,79,1,2,33.3
Foden,ENG,"MF,FW",24-351,19.6,2,0,0,5,34,3,80,9,5,0,0,0,60,3,9,25.0
Kevin De Bruyne,BEL,"MF,FW",33-320,18.1,2,0,0,16,18,5,140,7,9,0,0,0,63,5,16,23.8
Nunes,POR,"DF,MF",26-260,16.6,4,0,0,28,17,6,39,13,21,0,1,0,60,13,16,44.8
Doku,BEL,"FW,MF",22-352,16.0,1,0,0,9,32,5,56,4,21,0,0,0,58,0,11,0.0
Ortega,GER,GK,32-189,12.2,1,0,0,1,2,0,0,0,0,0,1,0,8,2,0,100.0
Marmoush,EGY,"FW,MF",26-096,11.2,0,0,0,13,17,9,25,5,6,1,0,0,33,5,9,35.7
Walker,ENG,DF,34-351,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3
Aké,NED,DF,30-085,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5
González,ESP,MF,23-131,7.2,3,0,0,11,4,0,0,5,6,0,0,0,31,16,11,59.3
Grealish,ENG,"FW,MF",29-246,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5
Stones,ENG,"DF,MF",30-351,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1
O’Reilly,ENG,DF,20-054,5.9,0,0,0,6,4,1,8,4,4,0,0,0,31,6,9,40.0
Khusanov,UZB,DF,21-074,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0
Mcatee,ENG,"MF,FW",22-208,3.9,1,0,0,6,3,0,8,2,2,0,0,0,8,2,3,40.0
Simpson-Pusey,ENG,DF,19-191,1.1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25.0
Rodri,ESP,MF,28-326,0.7,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100.0
Mubama,ENG,FW,20-201,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Bobb,NOR,FW,21-306,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Reis,BRA,DF,19-122,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
