Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vardy,ENG,FW,38-123,30.5,8,53,22,41.5,1.74,0.72,0.13,0.32,12.4,1,1,2,10.7,9.2,0.17,-2.7,-2.2,Matches
Justin,ENG,DF,27-080,30.7,2,25,6,24.0,0.82,0.2,0.08,0.33,16.2,2,0,0,1.5,1.5,0.06,0.5,0.5,Matches
Faes,BEL,DF,27-041,29.3,1,12,1,8.3,0.41,0.03,0.08,1.0,9.7,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
Victor Bernth Kristiansen,DEN,DF,22-149,26.6,0,3,0,0.0,0.11,0.0,0.0,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Hermansen,DEN,GK,24-307,26.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ndidi,NGA,MF,28-149,24.9,0,22,8,36.4,0.89,0.32,0.0,0.0,13.9,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Bilal El Khannouss,MAR,MF,21-004,23.2,2,29,7,24.1,1.25,0.3,0.07,0.29,22.3,0,0,0,1.2,1.2,0.04,0.8,0.8,Matches
Soumaré,FRA,MF,26-076,22.1,0,7,0,0.0,0.32,0.0,0.0,,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Winks,ENG,MF,29-101,17.1,0,10,4,40.0,0.59,0.23,0.0,0.0,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Coady,ENG,DF,32-078,17.0,1,2,2,100.0,0.12,0.12,0.5,0.5,6.9,0,0,0,0.4,0.4,0.21,0.6,0.6,Matches
Ayew,GHA,"FW,MF",33-245,16.5,5,28,8,28.6,1.7,0.48,0.14,0.5,18.8,4,1,1,3.0,2.2,0.08,2.0,1.8,Matches
Mavididi,ENG,FW,26-348,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,2.2,2.2,Matches
Vestergaard,DEN,DF,32-284,15.5,0,3,2,66.7,0.19,0.13,0.0,0.0,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Buonanotte,ARG,"FW,MF",20-142,16.7,5,36,12,33.3,2.15,0.72,0.14,0.42,17.6,0,0,0,3.9,3.9,0.11,1.1,1.1,Matches
Okoli,ITA,DF,23-305,12.5,1,4,2,50.0,0.32,0.16,0.25,0.5,13.5,0,0,0,0.6,0.6,0.15,0.4,0.4,Matches
Thomas,ENG,DF,23-338,10.5,0,5,0,0.0,0.47,0.0,0.0,,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Skipp,ENG,MF,24-240,11.7,0,4,1,25.0,0.34,0.09,0.0,0.0,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Bobby De Cordova-Reid,JAM,FW,32-101,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
Stolarczyk,POL,GK,24-146,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
McAteer,IRL,"FW,MF",23-173,7.6,0,10,5,50.0,1.31,0.65,0.0,0.0,15.3,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
Abdul Fatawu Issahaku,GHA,FW,21-067,6.4,0,13,5,38.5,2.02,0.78,0.0,0.0,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Daka,ZAM,"FW,MF",26-217,7.3,1,15,4,26.7,2.06,0.55,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Pereira,POR,DF,31-220,3.8,0,2,1,50.0,0.53,0.26,0.0,0.0,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Ward,WAL,GK,31-326,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Choudhury,BAN,"MF,DF",27-225,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Coulibaly,FRA,DF,25-359,1.2,0,2,1,50.0,1.65,0.83,0.0,0.0,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Monga,,"FW,MF",,0.7,0,2,1,50.0,2.73,1.36,0.0,0.0,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Édouard,FRA,FW,27-118,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Evans,,FW,,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alves,ENG,FW,20-100,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Golding,ENG,MF,18-356,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Total,,,27.4,36.0,31,320,102,31.9,8.89,2.83,0.09,0.28,17.3,8,2,3,31.6,29.3,0.09,-0.6,-0.3,
Total,,,27.1,36.0,75,599,196,32.7,16.64,5.44,0.12,0.37,16.0,20,3,4,68.9,65.8,0.11,6.1,6.2,
