Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Virgil van Dijk,nl NED,DF,33-309,36.0,3,27,8,29.6,0.75,0.22,0.11,0.38,13.1,1,0,0,2.2,2.2,0.08,0.8,0.8,Matches
Mohamed Salah,eg EGY,FW,32-332,35.5,28,112,47,42.0,3.16,1.33,0.17,0.4,14.7,1,9,9,24.0,17.0,0.15,4.0,2.0,Matches
Ryan Gravenberch,nl NED,MF,22-362,33.4,0,19,5,26.3,0.57,0.15,0.0,0.0,24.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Alexis Mac Allister,ar ARG,MF,26-140,28.9,5,38,13,34.2,1.32,0.45,0.13,0.38,18.1,1,0,0,2.8,2.8,0.07,2.2,2.2,Matches
Ibrahima Konaté,fr FRA,DF,25-353,26.8,1,19,3,15.8,0.71,0.11,0.05,0.33,10.5,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Andrew Robertson,sct SCO,DF,31-063,26.6,0,15,2,13.3,0.56,0.08,0.0,0.0,14.9,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Trent Alexander-Arnold,eng ENG,DF,26-218,25.8,3,44,8,18.2,1.71,0.31,0.07,0.38,23.4,3,0,0,1.9,1.9,0.04,1.1,1.1,Matches
Dominik Szoboszlai,hu HUN,MF,24-200,26.3,5,64,21,32.8,2.43,0.8,0.08,0.24,18.9,3,0,0,7.2,7.2,0.11,-2.2,-2.2,Matches
Luis Díaz,co COL,FW,28-120,25.6,13,67,29,43.3,2.62,1.13,0.19,0.45,13.3,0,0,0,11.3,11.3,0.17,1.7,1.7,Matches
Alisson,br BRA,GK,32-223,25.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cody Gakpo,nl NED,FW,26-006,19.8,10,53,22,41.5,2.68,1.11,0.19,0.45,14.9,0,0,0,6.9,6.9,0.13,3.1,3.1,Matches
Curtis Jones,eng ENG,"MF,DF",24-103,17.7,3,32,13,40.6,1.81,0.73,0.09,0.23,16.9,0,0,0,4.2,4.2,0.13,-1.2,-1.2,Matches
Diogo Jota,pt POR,FW,28-160,13.0,6,49,13,26.5,3.78,1.0,0.12,0.46,12.5,0,0,0,7.6,7.6,0.15,-1.6,-1.6,Matches
Caoimhín Kelleher,ie IRL,GK,26-171,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Darwin Núñez,uy URU,FW,25-323,11.9,5,33,12,36.4,2.76,1.0,0.15,0.42,14.3,0,0,0,5.3,5.3,0.16,-0.3,-0.3,Matches
Kostas Tsimikas,gr GRE,DF,29-001,8.3,0,4,2,50.0,0.48,0.24,0.0,0.0,16.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Joe Gomez,eng ENG,DF,27-355,5.8,0,3,2,66.7,0.52,0.35,0.0,0.0,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Conor Bradley,nir NIR,DF,21-308,7.0,0,9,3,33.3,1.28,0.43,0.0,0.0,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Jarell Quansah,eng ENG,DF,22-104,4.5,0,1,0,0.0,0.22,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Harvey Elliott,eng ENG,"MF,FW",22-039,3.1,0,14,2,14.3,4.58,0.65,0.0,0.0,18.0,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Wataru Endo,jp JPN,MF,32-093,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Federico Chiesa,it ITA,FW,27-200,0.5,0,4,2,50.0,7.83,3.91,0.0,0.0,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Vitezslav Jaros,cz CZE,GK,23-294,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Danns,eng ENG,MF,19-117,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.0,36.0,82,607,207,34.1,16.86,5.75,0.12,0.35,16.0,10,9,9,77.8,70.9,0.12,4.2,2.1,
Opponent Total,,,26.9,36.0,35,352,119,33.8,9.78,3.31,0.1,0.29,17.6,11,1,2,34.6,32.9,0.09,0.4,1.1,
