Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Henderson,ENG,GK,28-063,36.0,0,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Mitchell,ENG,DF,25-255,33.4,0,12,3,25.0,0.36,0.09,0.0,0.0,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3
Muñoz,COL,DF,28-353,33.9,4,36,14,38.9,1.06,0.41,0.11,0.29,12.6,0,0,0,4.9,4.9,0.14,-0.9,-0.9
Guéhi,ENG,DF,24-305,34.0,3,15,7,46.7,0.44,0.21,0.2,0.43,10.7,0,0,0,2.0,2.0,0.13,1.0,1.0
Lacroix,FRA,DF,25-038,32.6,1,30,5,16.7,0.92,0.15,0.03,0.2,10.8,0,0,0,3.4,3.4,0.11,-2.4,-2.4
Mateta,FRA,FW,27-320,28.6,14,65,27,41.5,2.27,0.94,0.18,0.44,15.4,0,2,2,12.7,11.1,0.17,1.3,0.9
Eze,ENG,"MF,FW",26-319,28.0,7,99,26,26.3,3.54,0.93,0.06,0.23,21.6,16,1,2,10.2,8.7,0.09,-3.2,-2.7
Sarr,SEN,MF,27-078,28.4,7,54,25,46.3,1.9,0.88,0.13,0.28,13.3,0,0,0,9.8,9.8,0.19,-2.8,-2.8
Lerma,COL,"MF,DF",30-201,23.3,0,26,8,30.8,1.12,0.34,0.0,0.0,19.8,0,0,0,1.1,1.1,0.04,-1.1,-1.1
Hughes,ENG,MF,30-027,22.1,0,21,1,4.8,0.95,0.05,0.0,0.0,22.5,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Richards,USA,DF,25-047,19.4,1,12,6,50.0,0.62,0.31,0.08,0.17,11.0,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Wharton,ENG,MF,20-346,14.6,0,13,5,38.5,0.89,0.34,0.0,0.0,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Kamada,JPN,MF,28-282,16.2,0,20,4,20.0,1.24,0.25,0.0,0.0,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Chalobah,ENG,DF,25-313,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8
Nketiah,ENG,"FW,MF",25-349,10.3,1,40,13,32.5,3.89,1.26,0.03,0.08,14.0,0,0,0,4.8,4.8,0.12,-3.8,-3.8
Clyne,ENG,"DF,MF",34-039,5.4,0,2,0,0.0,0.37,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Doucouré,MLI,MF,25-126,5.0,0,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Devenny,NIR,MF,21-215,4.8,1,8,4,50.0,1.66,0.83,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,0.3,0.3
Édouard,FRA,"MF,FW",27-118,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Andersen,DEN,DF,28-348,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Riad,MAR,DF,21-331,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Chilwell,ENG,DF,28-144,1.9,0,2,1,50.0,1.07,0.53,0.0,0.0,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Schlupp,GHA,"MF,DF",32-142,1.1,0,4,2,50.0,3.5,1.75,0.0,0.0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Esse,ENG,MF,20-001,0.5,1,1,1,100.0,1.91,1.91,1.0,1.0,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7
França,BRA,"FW,MF",21-043,0.3,1,3,2,66.7,10.38,6.92,0.33,0.5,12.8,0,0,0,0.1,0.1,0.04,0.9,0.9
Ayew,GHA,"FW,MF",33-245,0.2,0,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5
Kporha,ENG,DF,18-303,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Agbinone,ENG,MF,19-228,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Ward,ENG,DF,35-197,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
