Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Walker-Peters,ENG,DF,28-031,32.4,0,20,6,30.0,0.62,0.19,0.0,0.0,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8
Fernandes,POR,MF,20-308,30.3,2,40,14,35.0,1.32,0.46,0.05,0.14,18.4,3,0,0,3.8,3.8,0.1,-1.8,-1.8
Harwood-Bellis,ENG,DF,23-104,30.5,1,20,8,40.0,0.66,0.26,0.05,0.13,10.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8
Bednarek,POL,DF,29-032,28.1,2,5,2,40.0,0.18,0.07,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3
Ramsdale,ENG,GK,27-000,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Downes,ENG,MF,26-114,21.9,1,10,3,30.0,0.46,0.14,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4
Aribo,NGA,"MF,DF",28-297,21.7,3,17,7,41.2,0.78,0.32,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3
Dibling,ENG,"FW,MF",19-063,20.1,2,28,9,32.1,1.39,0.45,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5
Manning,IRL,"DF,MF",28-334,16.2,0,8,1,12.5,0.49,0.06,0.0,0.0,22.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3
Ugochukwu,FRA,MF,21-049,17.4,1,10,1,10.0,0.57,0.06,0.1,1.0,17.0,0,0,0,0.9,0.9,0.09,0.1,0.1
Stephens,ENG,DF,31-107,14.4,1,4,2,50.0,0.28,0.14,0.25,0.5,11.0,0,0,0,0.6,0.6,0.14,0.4,0.4
Sugawara,JPN,"DF,MF",24-320,16.3,1,13,5,38.5,0.8,0.31,0.08,0.2,19.2,1,0,0,0.5,0.5,0.04,0.5,0.5
Sulemana,GHA,"FW,MF",23-088,14.1,1,27,8,29.6,1.92,0.57,0.04,0.13,18.8,0,0,0,1.4,1.4,0.05,-0.4,-0.4
Armstrong,ENG,"FW,MF",28-093,13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3
Archer,ENG,FW,23-297,15.5,2,27,9,33.3,1.74,0.58,0.07,0.22,13.1,0,0,1,5.1,4.3,0.16,-3.1,-2.3
Bree,ENG,DF,27-215,10.9,0,4,1,25.0,0.37,0.09,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Onuachu,NGA,FW,30-351,11.4,4,34,15,44.1,2.97,1.31,0.12,0.27,10.4,0,0,0,3.6,3.6,0.11,0.4,0.4
Wood-Gordon,ENG,DF,22-348,6.9,0,2,0,0.0,0.29,0.0,0.0,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Smallbone,IRL,MF,25-082,7.2,1,6,1,16.7,0.83,0.14,0.17,1.0,19.3,1,0,0,0.4,0.4,0.07,0.6,0.6
McCarthy,ENG,GK,35-162,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lallana,ENG,MF,37-004,4.0,0,3,0,0.0,0.75,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Brereton,CHI,FW,26-026,5.0,0,11,1,9.1,2.2,0.2,0.0,0.0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Fraser,SCO,"FW,DF",31-079,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Welington,BRA,"DF,MF",24-084,3.4,0,3,0,0.0,0.89,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0
Stewart,SCO,FW,28-307,3.2,0,4,0,0.0,1.25,0.0,0.0,,11.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Lumley,ENG,GK,30-088,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Armel Bella Kotchap,GER,DF,23-154,3.7,0,1,0,0.0,0.27,0.0,0.0,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3
Taylor,ENG,DF,31-238,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Grønbaek,DEN,"FW,MF",23-356,1.6,0,2,0,0.0,1.26,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Cornet,CIV,FW,28-229,0.8,0,1,0,0.0,1.25,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Edozie,ENG,"DF,FW",22-106,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Robinson,ENG,"MF,FW",18-060,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Amo-Ameyaw,ENG,"FW,DF",18-300,0.3,0,1,0,0.0,3.21,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Edwards,ENG,DF,22-047,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alcaraz,ARG,MF,22-165,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
