Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Martínez,ARG,GK,32-254,34.0,1043,1332,78.3,27532,16865,182,186,97.8,603,614,98.2,258,525,49.1,0,0.5,0.1,-0.5,2,26,0,0,4,Matches
Tielemans,BEL,MF,28-007,33.3,1679,2044,82.1,28817,10189,779,868,89.7,732,838,87.4,139,257,54.1,7,6.9,5.6,0.1,59,228,37,4,234,Matches
Rogers,ENG,"FW,MF",22-292,32.7,633,860,73.6,9320,3212,358,441,81.2,190,250,76.0,48,61,78.7,9,7.7,5.2,1.3,49,71,53,3,117,Matches
Konsa,ENG,DF,27-203,30.6,1449,1563,92.7,24309,8111,635,658,96.5,742,776,95.6,56,88,63.6,0,0.4,0.5,-0.4,5,96,1,0,77,Matches
Watkins,ENG,FW,29-135,26.9,292,396,73.7,3696,625,185,234,79.1,78,98,79.6,9,12,75.0,7,3.0,1.7,4.0,23,12,12,0,29,Matches
Digne,FRA,DF,31-298,26.1,956,1277,74.9,15607,5137,483,549,88.0,389,496,78.4,62,155,40.0,4,4.7,4.0,-0.7,36,44,30,19,57,Matches
McGinn,SCO,"MF,FW",30-208,23.0,661,803,82.3,11241,3029,313,342,91.5,274,318,86.2,61,103,59.2,4,3.4,2.5,0.6,29,67,28,7,99,Matches
Cash,POL,DF,27-280,21.0,652,835,78.1,10947,3057,317,356,89.0,276,351,78.6,47,91,51.6,1,1.1,1.2,-0.1,10,37,9,5,39,Matches
Torres,ESP,DF,28-118,20.4,1080,1219,88.6,18872,7175,461,486,94.9,536,574,93.4,69,131,52.7,0,0.1,0.4,-0.1,2,96,7,0,77,Matches
Ramsey,ENG,"FW,MF",23-351,17.7,492,580,84.8,6578,1573,331,363,91.2,131,156,84.0,15,20,75.0,3,2.3,2.1,0.7,21,31,21,1,68,Matches
Kamara,FRA,MF,25-172,17.3,753,848,88.8,11918,3731,386,414,93.2,322,352,91.5,32,60,53.3,0,0.9,0.7,-0.9,10,86,8,0,78,Matches
Onana,BEL,MF,23-271,16.3,638,728,87.6,10024,2566,329,354,92.9,268,300,89.3,28,40,70.0,0,0.3,0.6,-0.3,8,58,9,1,63,Matches
Bailey,JAM,"FW,MF",27-278,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,0.5,16,16,20,2,35,Matches
Mings,ENG,DF,32-062,12.4,596,676,88.2,10642,3364,234,256,91.4,323,342,94.4,34,64,53.1,0,0.2,0.2,-0.2,3,48,5,0,40,Matches
Maatsen,NED,DF,23-065,10.7,530,648,81.8,8558,2218,258,292,88.4,237,274,86.5,25,46,54.3,2,2.7,2.3,-0.7,18,20,15,3,40,Matches
Carlos,BRA,DF,32-060,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches
Asensio,ESP,MF,29-113,6.8,199,248,80.2,2908,854,115,126,91.3,68,81,84.0,8,23,34.8,1,0.8,1.0,0.2,13,17,8,2,37,Matches
Disasi,FRA,DF,27-064,5.4,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,Matches
Bogarde,NED,"DF,MF",21-129,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
García,ESP,"DF,MF",22-096,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
Durán,COL,FW,21-152,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches
Rashford,ENG,FW,27-195,4.9,117,164,71.3,1772,447,67,77,87.0,36,47,76.6,9,25,36.0,2,2.3,2.1,-0.3,13,2,9,2,13,Matches
Barkley,ENG,MF,31-160,6.3,326,379,86.0,5081,1191,169,191,88.5,138,151,91.4,13,19,68.4,1,0.6,0.4,0.4,9,29,6,0,33,Matches
Jaden Philogene Bidace,ENG,"FW,MF",23-095,3.7,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0,0.3,0.2,-0.3,1,1,3,0,4,Matches
Malen,NED,FW,26-125,3.3,48,69,69.6,658,124,30,36,83.3,13,18,72.2,3,6,50.0,0,0.1,0.1,-0.1,2,2,1,0,5,Matches
Olsen,SWE,GK,35-126,2.0,54,76,71.1,1466,983,10,10,100.0,31,31,100.0,13,35,37.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Nedeljković,SRB,DF,19-149,1.4,47,53,88.7,853,185,22,23,95.7,21,25,84.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
Buendía,ARG,"MF,FW",28-140,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches
Total,,,27.8,36.0,13936,16849,82.7,239534,83669,6413,7109,90.2,6224,7005,88.9,1031,1943,53.1,43,40.4,35.1,2.6,342,1078,297,54,1254,
Total,,,27.2,36.0,13642,16428,83.0,235334,79548,6493,7081,91.7,5623,6380,88.1,1213,2165,56.0,35,34.2,33.6,0.8,314,1126,272,78,1229,
