player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
David Raya,Arsenal,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
William Saliba,Arsenal,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,2,2
Declan Rice,Arsenal,48,14,29.2,1.53,0.45,0.08,0.29,19.6,2,0,0,3.5,3.5,0.07,0.5,0.5,4,4
Thomas Partey,Arsenal,26,9,34.6,0.84,0.29,0.15,0.44,19.2,0,0,0,2.3,2.3,0.09,1.7,1.7,4,4
Leandro Trossard,Arsenal,72,21,29.2,2.55,0.74,0.11,0.38,15.9,0,0,0,7.2,7.2,0.1,0.8,0.8,8,8
Gabriel Magalhães,Arsenal,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4,3,3
Jurriën Timber,Arsenal,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,1,1
Martin Ødegaard,Arsenal,48,15,31.3,1.86,0.58,0.04,0.13,19.2,3,1,1,4.8,4.0,0.08,-1.8,-2.0,3,2
Gabriel Martinelli,Arsenal,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6,8,8
Kai Havertz,Arsenal,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,9,9
Bukayo Saka,Arsenal,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0,6,5
Mikel Merino,Arsenal,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,1.1,1.1,7,7
Myles Lewis-Skelly,Arsenal,3,1,33.3,0.2,0.07,0.33,1.0,14.7,0,0,0,0.2,0.2,0.05,0.8,0.8,1,1
Ben White,Arsenal,9,2,22.2,0.68,0.15,0.0,0.0,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,0,0
Riccardo Calafiori,Arsenal,10,6,60.0,0.92,0.55,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,2,2
Ethan Nwaneri,Arsenal,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8,4,4
Jakub Kiwior,Arsenal,3,1,33.3,0.24,0.08,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,1,1
Jorginho,Arsenal,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,0,0
Raheem Sterling,Arsenal,11,0,0.0,1.98,0.0,0.0,,15.1,2,0,0,1.4,1.4,0.13,-1.4,-1.4,0,0
Gabriel Jesus,Arsenal,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,3,3
Oleksandr Zinchenko,Arsenal,10,0,0.0,1.71,0.0,0.0,,19.6,1,0,0,0.6,0.6,0.07,-0.6,-0.6,0,0
