Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Caicedo,ECU,"MF,DF",23-193,35.2,2471,92,538,1513,447,15,2471,60,27,45.0,20,33.3,1359,6561,3177,40,34,2,37,24,1722,35,Matches
Palmer,ENG,MF,23-008,33.5,1756,20,141,786,851,138,1751,111,51,45.9,44,39.6,1109,7510,3569,111,69,39,64,34,1293,175,Matches
Colwill,ENG,DF,22-077,33.0,2786,364,1314,1353,131,35,2786,10,6,60.0,4,40.0,1572,7187,3934,14,12,1,14,8,2031,11,Matches
Cucurella,ESP,DF,26-296,31.2,2134,111,648,988,508,74,2134,13,4,30.8,7,53.8,907,3920,2293,35,20,2,26,6,1327,113,Matches
Fernández,ARG,MF,24-117,30.7,2121,36,330,1078,728,80,2121,52,25,48.1,19,36.5,1170,5444,2652,59,54,9,27,27,1563,122,Matches
Sánchez,ESP,GK,27-177,30.0,1254,924,1242,12,0,0,1254,0,0,,0,,839,4180,2651,0,0,0,0,0,782,0,Matches
Jackson,SEN,FW,23-328,24.7,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129,Matches
Madueke,ENG,FW,23-065,20.6,894,20,92,262,555,174,894,91,40,44.0,41,45.1,593,4961,3192,144,47,88,47,24,689,214,Matches
Neto,POR,FW,25-066,23.4,1082,13,99,315,685,111,1082,99,33,33.3,42,42.4,705,5948,3122,119,54,43,42,26,788,241,Matches
Gusto,FRA,DF,21-360,20.5,1585,62,383,768,447,43,1585,16,4,25.0,11,68.8,878,4461,2214,49,35,8,16,17,1068,84,Matches
Sancho,ENG,FW,25-050,18.9,943,11,115,271,567,121,943,96,45,46.9,39,40.6,635,4359,2399,100,33,57,29,21,738,221,Matches
Fofana,FRA,DF,24-148,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,Matches
Adarabioyo,ENG,DF,27-232,13.7,1198,160,570,603,26,13,1198,5,4,80.0,0,0.0,713,2950,1690,5,2,0,3,0,916,1,Matches
Chalobah,ENG,DF,25-313,10.1,774,73,331,389,59,12,774,5,2,40.0,1,20.0,426,1753,772,4,5,1,3,2,574,2,Matches
Lavia,BEL,MF,21-128,8.4,480,16,105,312,69,1,480,14,9,64.3,5,35.7,288,1315,535,3,9,0,3,7,348,7,Matches
James,ENG,"DF,MF",25-157,9.8,808,34,219,444,150,6,808,16,6,37.5,6,37.5,421,1683,762,6,4,0,6,5,516,12,Matches
Nkunku,FRA,FW,27-181,10.2,448,10,52,183,217,52,448,27,10,37.0,14,51.9,280,1368,628,17,16,13,18,17,356,68,Matches
Jørgensen,DEN,GK,23-028,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0,Matches
Disasi,FRA,DF,27-064,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2,Matches
Félix,POR,"FW,MF",25-185,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30,Matches
Badiashile,FRA,DF,24-049,3.7,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2,Matches
Dewsbury-Hall,ENG,"MF,FW",26-250,2.9,181,4,28,95,58,6,181,4,2,50.0,2,50.0,93,474,221,5,1,0,1,3,137,11,Matches
Acheampong,ENG,DF,19-009,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
Veiga,POR,"DF,MF",21-289,2.0,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,417,144,4,5,1,1,0,110,3,Matches
Mudryk,UKR,FW,24-129,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12,Matches
George,ENG,FW,19-099,1.1,56,1,10,14,33,8,56,4,3,75.0,1,25.0,38,348,208,9,1,5,1,0,44,18,Matches
Guiu,ESP,FW,19-130,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3,Matches
Amougou,FRA,MF,19-116,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
Mheuka,ENG,MF,17-206,0.0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches
Total,,,24.5,36.0,24123,2288,7237,10874,6215,1088,24118,748,315,42.1,314,42.0,13961,75267,39736,827,470,307,440,282,17200,1520,
Total,,,27.3,36.0,19048,2792,7589,7704,3989,734,19042,605,257,42.5,259,42.8,10447,57474,29271,561,380,166,439,296,12093,1116,
