Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
Max Kilman,eng ENG,DF,27-355,35.2,2234,447,1250,894,107,32,2234,20,14,70.0,2,10.0,1192,5354,3074,30,14,2,16,3,1478,6,Matches
Aaron Wan-Bissaka,eng ENG,DF,27-168,33.0,2098,139,650,895,584,47,2098,116,60,51.7,41,35.3,997,6305,3494,105,61,14,33,21,1210,154,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-144,31.0,1144,25,127,424,617,156,1143,119,40,33.6,69,58.0,685,4988,2378,102,44,57,68,72,753,191,Matches
Mohammed Kudus,gh GHA,"FW,MF",24-284,27.7,1216,12,164,510,585,122,1216,199,89,44.7,92,46.2,802,5306,2486,95,57,41,72,92,946,207,Matches
Tomáš Souček,cz CZE,MF,30-075,26.9,1217,119,338,595,288,100,1217,12,6,50.0,6,50.0,477,1458,514,8,10,3,19,13,726,67,Matches
Lucas Paquetá,br BRA,"MF,FW",27-259,26.0,1738,62,360,957,435,57,1736,43,18,41.9,20,46.5,891,3185,1300,22,32,2,53,50,1220,82,Matches
Emerson Palmieri,it ITA,DF,30-283,23.5,1325,82,422,559,359,28,1325,30,10,33.3,17,56.7,555,3013,1737,47,25,9,24,7,747,83,Matches
Alphonse Areola,fr FRA,GK,32-075,24.1,1011,806,1001,11,0,0,1011,0,0,,0,,580,2376,1275,0,0,0,0,0,535,0,Matches
Konstantinos Mavropanos,gr GRE,DF,27-153,21.7,1446,224,755,637,62,24,1446,17,9,52.9,5,29.4,802,3969,2152,16,10,1,12,0,944,2,Matches
Edson Álvarez,mx MEX,MF,27-201,18.4,1125,63,333,622,179,12,1125,32,14,43.8,13,40.6,624,3489,1589,22,21,2,25,13,753,18,Matches
Jean-Clair Todibo,fr FRA,DF,25-134,18.3,1142,152,631,476,44,10,1142,14,7,50.0,7,50.0,666,2825,1406,9,5,0,13,10,774,5,Matches
Guido Rodríguez,ar ARG,MF,31-031,12.0,659,46,210,390,60,3,659,4,3,75.0,0,0.0,309,1089,439,3,5,1,3,7,380,5,Matches
Carlos Soler,es ESP,"MF,FW",28-131,15.3,766,27,177,397,197,23,766,18,8,44.4,9,50.0,356,1749,740,16,17,4,14,14,521,34,Matches
Łukasz Fabiański,pl POL,GK,40-025,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches
Michail Antonio,jm JAM,FW,35-046,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
Vladimír Coufal,cz CZE,DF,32-264,10.6,633,58,240,267,129,11,633,9,3,33.3,3,33.3,257,1482,744,19,8,2,11,6,343,28,Matches
James Ward-Prowse,eng ENG,MF,30-193,10.0,747,28,161,457,131,8,747,5,2,40.0,3,60.0,379,1774,771,9,14,0,3,6,523,4,Matches
Aaron Cresswell,eng ENG,DF,35-149,8.5,636,43,254,305,82,1,636,2,1,50.0,1,50.0,272,1030,467,5,8,0,4,0,394,3,Matches
Crysencio Summerville,nl NED,"FW,MF",23-195,8.7,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71,Matches
Oliver Scarles,eng ENG,DF,19-152,6.6,420,27,140,166,118,7,420,6,1,16.7,5,83.3,190,770,445,11,9,1,10,3,243,39,Matches
Niclas Füllkrug,de GER,FW,32-093,7.6,229,15,21,116,93,35,229,6,1,16.7,4,66.7,96,362,188,6,4,2,16,5,166,25,Matches
Danny Ings,eng ENG,"FW,MF",32-294,3.2,139,2,15,51,73,27,139,7,4,57.1,2,28.6,63,324,118,6,0,2,6,6,96,29,Matches
Andy Irving,sct SCO,MF,25-000,1.8,150,7,37,89,24,0,150,1,1,100.0,0,0.0,73,305,137,0,1,0,1,3,104,4,Matches
Evan Ferguson,ie IRL,FW,20-206,1.7,66,1,6,30,31,10,66,5,3,60.0,2,40.0,31,123,41,1,1,1,8,5,42,7,Matches
Luis Guilherme,br BRA,"MF,FW",19-093,1.5,85,3,19,30,37,4,85,9,5,55.6,2,22.2,42,324,136,3,3,1,4,3,55,13,Matches
Lewis Orford,eng ENG,MF,19-084,0.5,42,1,8,28,7,2,42,0,0,,0,,22,98,27,0,0,0,1,0,31,1,Matches
Kaelan Casey,eng ENG,DF,20-197,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.9,36.0,21425,2784,7876,9182,4574,793,21422,742,323,43.5,334,45.0,10999,55709,27960,593,377,167,471,374,13691,1137,
Opponent Total,,,26.9,36.0,22728,2308,6854,9776,6310,1039,22725,580,233,40.2,275,47.4,13157,71387,37956,794,497,230,489,335,15024,1542,
