Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Verbruggen,NED,GK,22,34.0,1338,1062,1325,13,0,0,1338,2,2,100.0,0,0.0,906,3353,1709,0,1,1,2,0,856,0
Jan Paul van Hecke,NED,DF,24,30.9,2437,261,1039,1263,155,30,2437,11,5,45.5,4,36.4,1617,10052,6867,53,43,0,12,7,1709,5
Baleba,CMR,MF,21,27.6,1600,90,392,941,309,12,1600,54,32,59.3,19,35.2,920,5275,2625,40,42,3,38,38,973,28
Mitoma,JPN,"FW,MF",27,28.1,1315,15,152,451,740,158,1315,128,50,39.1,73,57.0,793,6352,3691,139,77,55,52,22,920,279
Estupiñán,ECU,DF,27,25.7,1833,80,467,902,482,32,1833,30,16,53.3,13,43.3,982,4700,2474,57,59,9,32,27,1106,109
Dunk,ENG,DF,33,23.1,2127,258,993,1031,113,21,2127,1,0,0.0,1,100.0,1341,6155,3345,20,19,0,9,3,1556,3
Welbeck,ENG,FW,34,22.6,691,17,56,305,336,93,690,36,12,33.3,21,58.3,428,1952,835,20,21,8,48,27,519,88
Pedro,BRA,"FW,MF",23,21.6,940,12,60,387,508,122,935,86,29,33.7,47,54.7,616,3821,1821,66,39,30,72,38,732,128
Hinshelwood,ENG,"DF,MF",20,19.4,1141,50,316,532,299,27,1141,11,2,18.2,8,72.7,567,2362,1145,18,20,2,16,3,717,47
Ayari,SWE,MF,21,20.5,1164,55,262,591,330,44,1164,44,18,40.9,17,38.6,618,3088,1412,30,25,6,35,22,749,60
Veltman,NED,DF,33,18.5,1102,65,328,544,240,10,1102,15,4,26.7,5,33.3,526,2815,1448,30,22,3,19,7,599,32
Rutter,FRA,"MF,FW",23,18.4,641,20,83,246,326,79,641,71,27,38.0,34,47.9,361,2467,1405,42,36,16,45,37,411,79
Minteh,GAM,"FW,MF",20,18.5,757,30,131,214,430,124,757,85,40,47.1,38,44.7,434,3160,1870,77,21,57,49,24,447,174
O'Riley,DEN,MF,24,10.1,503,19,76,226,203,42,503,13,8,61.5,4,30.8,262,1088,516,20,11,8,17,3,291,49
Adingra,CIV,"FW,MF",23,11.0,502,10,66,161,281,65,502,48,21,43.8,27,56.3,335,2219,1125,41,18,21,36,11,351,120
Lamptey,GHA,DF,24,9.6,535,29,161,224,154,11,535,31,10,32.3,18,58.1,292,2081,1034,32,17,3,11,5,302,45
Igor,BRA,DF,27,10.0,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0
Webster,ENG,DF,30,7.9,620,95,311,292,22,8,620,3,1,33.3,2,66.7,360,2074,1194,7,2,0,3,1,411,2
Wieffer,NED,"MF,DF",25,9.3,745,46,190,396,171,14,745,14,7,50.0,6,42.9,435,2153,954,18,17,1,16,9,470,18
Gruda,GER,"MF,FW",20,6.0,278,4,34,94,154,34,278,25,10,40.0,11,44.0,164,1170,539,17,18,10,11,21,182,48
Kadioglu,TUR,"DF,MF",25,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27
Gómez,PAR,MF,22,5.0,355,19,81,193,86,6,355,12,6,50.0,6,50.0,169,634,291,6,3,0,6,9,212,14
Milner,ENG,MF,39,1.9,92,3,13,48,31,4,92,1,1,100.0,0,0.0,46,223,97,1,1,0,0,0,58,10
Enciso,PAR,"MF,FW",21,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17
Ferguson,IRL,FW,20,2.7,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9
Steele,ENG,GK,34,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0
March,ENG,"FW,MF",30,1.9,118,3,12,33,73,7,118,4,1,25.0,3,75.0,57,398,167,5,2,3,3,1,67,20
Gilmour,SCO,MF,23,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2
Cashin,IRL,DF,23,0.2,32,2,10,20,2,0,32,1,0,0.0,1,100.0,21,133,99,0,0,0,0,0,25,1
Moder,POL,MF,26,0.1,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0
Sarmiento,ECU,MF,22,0.1,8,0,0,6,2,0,8,0,0,,0,,6,61,10,0,0,0,1,0,7,2
