player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Bruno Guimarães,BRA,MF,27,34.3,7,0,0,59,102,2,26,28,43,0,0,0,172,18,18,50.0
Dan Burn,ENG,DF,33,35.0,10,0,0,31,11,5,3,26,20,0,0,2,98,136,66,67.3
Alexander Isak,SWE,FW,25,29.6,1,0,0,26,14,20,15,3,5,1,0,0,55,26,53,32.9
Fabian Schär,SUI,DF,33,30.6,8,1,0,33,13,4,10,41,21,0,0,0,129,46,62,42.6
Valentino Livramento,ENG,DF,22,29.6,1,0,0,6,34,2,45,21,36,0,0,0,177,23,33,41.1
Joelinton,BRA,"MF,FW",28,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2
Jacob Murphy,ENG,FW,30,24.8,4,0,0,11,15,3,113,12,16,1,0,0,94,4,16,20.0
Sandro Tonali,ITA,MF,25,27.2,5,0,0,37,46,2,34,33,30,1,0,0,166,12,12,50.0
Nick Pope,ENG,GK,33,26.0,2,0,0,2,5,0,0,1,0,0,2,0,22,11,1,91.7
Anthony Gordon,ENG,FW,24,25.5,2,0,0,20,68,8,122,6,17,1,0,0,95,7,7,50.0
Lewis Hall,ENG,DF,20,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2
Harvey Barnes,ENG,FW,27,17.7,0,0,0,12,21,5,44,6,9,0,0,0,52,5,15,25.0
Kieran Trippier,ENG,DF,34,14.2,1,0,0,16,11,2,79,12,20,0,0,0,65,21,15,58.3
Joe Willock,ENG,"MF,FW",25,11.4,3,0,0,22,13,3,16,6,16,0,0,0,40,5,14,26.3
Martin Dúbravka,SVK,GK,36,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0
Sean Longstaff,ENG,MF,27,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0
Lloyd Kelly,ENG,DF,26,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0
Sven Botman,NED,DF,25,3.2,1,0,0,4,4,0,0,5,6,0,0,0,8,13,7,65.0
Emil Krafth,SWE,DF,30,3.5,1,0,0,4,1,0,1,2,2,0,0,0,19,7,8,46.7
Callum Wilson,ENG,FW,33,3.2,1,0,0,3,1,3,2,1,2,0,0,0,10,2,14,12.5
Lewis Miley,ENG,MF,19,3.2,0,0,0,3,1,0,0,2,10,0,0,0,16,5,6,45.5
Miguel Almirón,PAR,FW,31,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0
William Osula,DEN,FW,21,1.2,0,0,0,2,1,1,1,4,0,0,0,0,2,4,1,80.0
Matt Targett,ENG,DF,29,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
Squad Total,,,28,36.0,64,1,0,373,432,71,644,259,351,4,2,2,1562,451,436,50.8
Opponent Total,,,27,36.0,90,3,1,446,364,43,625,281,416,2,6,2,1549,436,451,49.2
