Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Verbruggen,NED,GK,22-269,34,3060,90,94.4,34.0,34,90,34,0,,0,1.44,54,55,-1,-0.03,-2.03,50.8,48.4,+2.4,+0.07,-0.75,Matches
Jan Paul van Hecke,NED,DF,24-340,32,2778,87,85.7,30.9,31,89,28,1,9,0,1.50,48,44,+4,+0.13,+0.32,45.3,40.0,+5.3,+0.17,+0.42,Matches
Baleba,CMR,MF,21-131,32,2481,78,76.6,27.6,29,83,13,3,27,2,1.59,48,36,+12,+0.44,+1.50,42.6,35.3,+7.2,+0.26,+0.65,Matches
Mitoma,JPN,"FW,MF",27-359,34,2532,74,78.1,28.1,28,85,14,6,26,0,1.56,47,40,+7,+0.25,+0.76,41.0,36.2,+4.8,+0.17,+0.27,Matches
Estupiñán,ECU,DF,27-113,29,2312,80,71.4,25.7,25,88,21,4,27,1,1.52,44,42,+2,+0.08,-0.02,40.4,37.3,+3.0,+0.12,+0.02,Matches
Dunk,ENG,DF,33-174,25,2083,83,64.3,23.1,23,89,21,2,24,0,1.24,33,42,-9,-0.39,-1.32,32.1,35.4,-3.3,-0.14,-0.71,Matches
Welbeck,ENG,FW,34-169,29,2032,70,62.7,22.6,23,84,11,6,17,0,1.66,39,35,+4,+0.18,+0.25,33.6,34.5,-1.0,-0.04,-0.41,Matches
Pedro,BRA,"FW,MF",23-230,27,1948,72,60.1,21.6,23,81,12,4,23,0,1.48,33,27,+6,+0.28,+0.49,36.3,25.7,+10.6,+0.49,+0.95,Matches
Hinshelwood,ENG,"DF,MF",20-033,24,1745,73,53.9,19.4,21,81,11,3,12,0,1.63,34,29,+5,+0.26,+0.38,28.8,27.7,+1.1,+0.06,-0.12,Matches
Ayari,SWE,MF,21-220,32,1848,58,57.0,20.5,20,80,8,12,22,2,1.59,29,25,+4,+0.19,+0.26,30.8,26.1,+4.7,+0.23,+0.27,Matches
Veltman,NED,DF,33-119,20,1665,83,51.4,18.5,19,86,14,1,22,2,1.75,29,24,+5,+0.27,+0.38,25.0,24.3,+0.6,+0.03,-0.16,Matches
Rutter,FRA,"MF,FW",23-024,28,1656,59,51.1,18.4,19,76,3,9,24,0,1.57,32,29,+3,+0.16,+0.16,27.1,27.3,-0.3,-0.01,-0.26,Matches
Minteh,GAM,"FW,MF",20-296,30,1666,56,51.4,18.5,18,77,3,12,24,1,1.50,32,30,+2,+0.11,+0.05,30.9,23.4,+7.6,+0.41,+0.61,Matches
O'Riley,DEN,MF,24-174,19,905,48,27.9,10.1,11,68,0,8,20,3,1.32,14,20,-6,-0.60,-0.94,15.5,14.1,+1.3,+0.13,+0.03,Matches
Adingra,CIV,"FW,MF",23-133,27,988,37,30.5,11.0,10,69,1,17,18,6,1.48,17,20,-3,-0.27,-0.51,16.8,15.7,+1.1,+0.10,-0.01,Matches
Lamptey,GHA,DF,24-226,15,860,57,26.5,9.6,10,76,5,5,19,10,1.40,14,21,-7,-0.73,-1.11,13.3,14.8,-1.4,-0.15,-0.36,Matches
Igor,BRA,DF,27-096,12,903,75,27.9,10.0,9,87,8,3,39,9,1.42,16,16,0,0.00,-0.12,14.2,15.4,-1.1,-0.11,-0.31,Matches
Webster,ENG,DF,30-130,12,707,59,21.8,7.9,9,74,6,3,14,7,2.17,19,8,+11,+1.40,+1.68,14.6,10.1,+4.5,+0.57,+0.59,Matches
Wieffer,NED,"MF,DF",25-179,23,835,36,25.8,9.3,8,76,3,15,15,3,1.48,18,19,-1,-0.11,-0.26,13.1,14.9,-1.8,-0.19,-0.41,Matches
Gruda,GER,"MF,FW",20-348,19,540,28,16.7,6.0,6,61,0,13,14,7,1.21,10,12,-2,-0.33,-0.50,8.1,8.8,-0.7,-0.12,-0.28,Matches
Kadioglu,TUR,"DF,MF",25-219,6,385,64,11.9,4.3,5,72,1,1,23,1,1.33,5,8,-3,-0.70,-0.89,5.2,9.3,-4.1,-0.96,-1.21,Matches
Gómez,PAR,MF,22-048,14,453,32,14.0,5.0,4,72,0,10,17,1,1.71,11,13,-2,-0.40,-0.56,11.3,8.4,+2.9,+0.58,+0.55,Matches
Milner,ENG,MF,39-130,3,169,56,5.2,1.9,3,56,0,0,,0,2.33,3,1,+2,+1.07,+1.04,2.8,2.0,+0.8,+0.41,+0.32,Matches
Enciso,PAR,"MF,FW",21-111,12,294,25,9.1,3.3,2,67,0,10,16,7,1.50,3,4,-1,-0.31,-0.43,4.5,4.9,-0.5,-0.14,-0.28,Matches
Ferguson,IRL,FW,20-207,13,246,19,7.6,2.7,2,65,0,11,11,2,0.92,4,7,-3,-1.10,-1.28,2.9,4.8,-1.9,-0.71,-0.88,Matches
Steele,ENG,GK,34-269,2,180,90,5.6,2.0,2,90,2,0,,24,3.00,5,1,+4,+2.00,+2.03,3.5,1.9,+1.6,+0.82,+0.75,Matches
March,ENG,"FW,MF",30-298,8,168,21,5.2,1.9,1,62,0,7,15,5,1.75,4,3,+1,+0.54,+0.48,3.4,2.8,+0.6,+0.34,+0.25,Matches
Gilmour,SCO,MF,23-337,2,98,49,3.0,1.1,1,89,0,1,9,0,3.00,2,1,+1,+0.92,+0.86,1.6,1.3,+0.2,+0.22,+0.11,Matches
Cashin,IRL,DF,23-186,2,20,10,0.6,0.2,0,,0,2,10,8,0.00,0,2,-2,-9.00,-9.14,0.4,0.4,0.0,-0.19,-0.31,Matches
Moder,POL,MF,26-037,4,11,3,0.3,0.1,0,,0,4,3,9,1.75,0,0,0,0.00,-0.08,0.4,0.3,+0.2,+1.30,+1.19,Matches
,,,,,Time,Time,Time,Time,Starts,Starts,Starts,Subs,Subs,Subs,Success,Success,Success,Success,Success,Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Sarmiento,ECU,MF,22-332,1,9,9,0.3,0.1,0,,0,1,9,0,3.00,1,0,+1,+10.00,+9.94,0.1,0.0,+0.1,+0.68,+0.57,Matches
Barco,ARG,MF,20-295,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Cahill,IRL,GK,21-192,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Howell,ENG,FW,16-227,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Knight,ENG,MF,19-235,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Mcconville,NIR,DF,20-013,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
O'Mahony,IRL,FW,20-120,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rushworth,ENG,GK,23-316,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Samuels,ENG,DF,22-098,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Simmonds,ENG,DF,17-066,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Slater,ENG,DF,20-221,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tasker,ENG,DF,19-079,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Total,,,25.7,36,3240,90,100,36.0,396,82,219,174,18,150,1.53,59,56,+3,+0.08,,54.3,50.3,+4.0,+0.11,,
Total,,,27.0,36,3240,90,100,36.0,396,82,241,154,20,170,1.11,56,59,-3,-0.08,,50.3,54.3,-4.0,-0.11,,
