Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Bruno Guimarães,br BRA,MF,27-178,36,3091.0,86.0,95.4,34.3,36,86.0,19,0,,0,1.83,68.0,42.0,26.0,0.76,2.57,58.7,41.0,17.6,0.51,0.7,Matches
Dan Burn,eng ENG,DF,33-004,35,3150.0,90.0,97.2,35.0,35,90.0,35,0,,0,1.89,68.0,43.0,25.0,0.71,2.71,59.4,42.9,16.5,0.47,-0.3,Matches
Alexander Isak,se SWE,FW,25-234,33,2666.0,81.0,82.3,29.6,33,81.0,14,0,,0,1.94,62.0,40.0,22.0,0.74,0.59,53.8,35.2,18.7,0.63,0.84,Matches
Fabian Schär,ch SUI,DF,33-144,32,2754.0,86.0,85.0,30.6,31,87.0,27,1,45.0,0,1.75,58.0,40.0,18.0,0.59,-0.34,52.3,35.1,17.2,0.56,0.54,Matches
Valentino Livramento,eng ENG,DF,22-182,35,2660.0,76.0,82.1,29.6,30,84.0,23,5,26.0,0,1.8,58.0,38.0,20.0,0.68,0.21,49.3,35.5,13.8,0.47,-0.07,Matches
Joelinton,br BRA,"MF,FW",28-272,29,2393.0,83.0,73.9,26.6,29,83.0,18,0,,0,1.83,51.0,32.0,19.0,0.71,0.29,46.4,31.5,14.9,0.56,0.31,Matches
Jacob Murphy,eng ENG,FW,30-078,33,2229.0,68.0,68.8,24.8,29,73.0,6,4,30.0,2,1.79,54.0,29.0,25.0,1.01,1.19,47.1,26.6,20.6,0.83,1.12,Matches
Sandro Tonali,it ITA,MF,25-005,34,2450.0,72.0,75.6,27.2,26,86.0,20,8,27.0,0,1.82,55.0,32.0,23.0,0.84,0.84,48.0,31.0,16.9,0.62,0.58,Matches
Nick Pope,eng ENG,GK,33-024,26,2340.0,90.0,72.2,26.0,26,90.0,26,0,,3,1.73,45.0,33.0,12.0,0.46,-0.64,40.8,32.9,8.0,0.31,-0.63,Matches
Anthony Gordon,eng ENG,FW,24-078,32,2299.0,72.0,71.0,25.5,26,82.0,8,6,26.0,0,1.78,43.0,32.0,11.0,0.43,-0.72,43.5,31.0,12.6,0.49,0.04,Matches
Lewis Hall,eng ENG,DF,20-247,27,2189.0,81.0,67.6,24.3,24,87.0,18,3,30.0,0,1.63,45.0,31.0,14.0,0.58,-0.2,42.5,28.8,13.7,0.56,0.25,Matches
Harvey Barnes,eng ENG,FW,27-155,31,1593.0,51.0,49.2,17.7,15,80.0,6,16,25.0,1,1.94,34.0,21.0,13.0,0.73,0.19,28.9,22.9,6.0,0.34,-0.28,Matches
Kieran Trippier,eng ENG,DF,34-236,24,1281.0,53.0,39.5,14.2,14,77.0,2,10,21.0,6,1.67,29.0,17.0,12.0,0.84,0.34,26.2,16.5,9.7,0.68,0.33,Matches
Joe Willock,eng ENG,"MF,FW",25-266,30,1026.0,34.0,31.7,11.4,11,62.0,0,19,18.0,1,1.7,19.0,15.0,4.0,0.35,-0.42,18.0,13.7,4.3,0.37,-0.16,Matches
Martin Dúbravka,sk SVK,GK,36-118,10,900.0,90.0,27.8,10.0,10,90.0,10,0,,22,2.1,23.0,12.0,11.0,1.1,0.64,20.2,10.8,9.4,0.94,0.63,Matches
Sean Longstaff,eng ENG,MF,27-195,25,798.0,32.0,24.6,8.9,8,72.0,3,17,13.0,11,1.88,9.0,11.0,-2.0,-0.23,-1.15,8.8,11.6,-2.8,-0.31,-1.05,Matches
Lloyd Kelly,eng ENG,DF,26-219,10,303.0,30.0,9.4,3.4,4,68.0,1,6,6.0,14,1.6,1.0,6.0,-5.0,-1.49,-2.34,4.1,5.8,-1.7,-0.51,-1.1,Matches
Sven Botman,nl NED,DF,25-121,6,287.0,48.0,8.9,3.2,4,70.0,1,2,5.0,2,2.17,7.0,3.0,4.0,1.25,0.68,6.3,3.8,2.5,0.78,0.33,Matches
Emil Krafth,se SWE,DF,30-284,11,315.0,29.0,9.7,3.5,2,90.0,2,9,15.0,13,2.09,5.0,2.0,3.0,0.86,0.24,4.5,6.4,-1.9,-0.53,-1.12,Matches
Callum Wilson,eng ENG,FW,33-075,16,286.0,18.0,8.8,3.2,1,68.0,0,15,15.0,0,1.69,4.0,6.0,-2.0,-0.63,-1.39,3.3,4.8,-1.6,-0.5,-1.08,Matches
Lewis Miley,eng ENG,MF,19-012,13,285.0,22.0,8.8,3.2,1,90.0,1,12,16.0,11,2.31,6.0,4.0,2.0,0.63,-0.01,4.5,5.1,-0.6,-0.2,-0.75,Matches
Miguel Almirón,py PAR,FW,31-092,9,157.0,17.0,4.8,1.7,1,67.0,0,8,11.0,14,1.56,1.0,3.0,-2.0,-1.15,-1.88,2.8,3.6,-0.8,-0.47,-1.0,Matches
William Osula,dk DEN,FW,21-282,12,104.0,9.0,3.2,1.2,0,,0,12,9.0,24,1.5,1.0,3.0,-2.0,-1.73,-2.45,1.7,2.8,-1.1,-0.95,-1.48,Matches
Matt Targett,eng ENG,DF,29-237,2,21.0,11.0,0.6,0.2,0,,0,2,11.0,16,1.5,1.0,0.0,1.0,4.29,3.67,0.3,0.3,0.0,0.05,-0.44,Matches
Jamaal Lascelles,eng ENG,DF,31-183,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Alex Murphy,ie IRL,DF,20-322,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Sean Neave,eng ENG,FW,17-351,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
John Ruddy,eng ENG,GK,38-201,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Leo Shahar,eng ENG,DF,18-056,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Odisseas Vlachodimos,gr GRE,GK,31-017,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Squad Total,,,28.2,36,3240.0,90.0,100.0,36.0,396,83.0,240,155,18.0,169,1.83,68.0,45.0,23.0,0.64,,61.1,43.7,17.3,0.48,,
Opponent Total,,,27.0,36,3240.0,90.0,100.0,36.0,396,83.0,239,154,19.0,169,1.0,45.0,68.0,-23.0,-0.64,,43.7,61.1,-17.3,-0.48,,
