Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Verbruggen,NED,GK,22,34.0,1251,1103,143,61,0,0,0,0,0,0,0,0,959,5,2
Jan Paul van Hecke,NED,DF,24,30.9,2147,2011,134,101,3,18,11,7,0,0,0,0,1887,2,6
Baleba,CMR,MF,21,27.6,1238,1214,22,9,6,3,9,3,0,0,0,0,1081,2,14
Mitoma,JPN,"FW,MF",27,28.1,940,919,18,0,8,1,72,18,0,0,0,0,709,3,38
Estupiñán,ECU,DF,27,25.7,1547,1316,228,19,0,5,116,172,37,23,9,3,1288,3,27
Dunk,ENG,DF,33,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
Welbeck,ENG,FW,34,22.6,469,450,18,2,0,0,3,2,0,0,0,0,398,1,13
Pedro,BRA,"FW,MF",23,21.6,661,631,26,5,10,3,22,9,4,0,0,0,482,4,20
Hinshelwood,ENG,"DF,MF",20,19.4,997,878,118,27,0,8,26,75,8,4,1,1,831,1,11
Ayari,SWE,MF,21,20.5,915,829,85,31,9,1,64,3,34,26,5,1,745,1,13
Veltman,NED,DF,33,18.5,900,729,168,42,2,3,23,126,0,0,0,0,719,3,21
Rutter,FRA,"MF,FW",23,18.4,355,344,9,0,12,0,9,0,0,0,0,0,237,2,14
Minteh,GAM,"FW,MF",20,18.5,497,451,44,9,2,4,79,19,16,7,6,0,310,2,32
O'Riley,DEN,MF,24,10.1,394,328,65,12,2,2,46,1,35,23,7,0,301,1,13
Adingra,CIV,"FW,MF",23,11.0,347,337,9,0,2,0,36,8,1,0,0,0,264,1,11
Lamptey,GHA,DF,24,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6
Igor,BRA,DF,27,10.0,682,634,46,12,3,3,2,9,0,0,0,0,628,2,5
Webster,ENG,DF,30,7.9,543,486,56,24,0,2,1,0,0,0,0,0,465,1,5
Wieffer,NED,"MF,DF",25,9.3,604,570,33,9,0,1,7,24,0,0,0,0,517,1,13
Gruda,GER,"MF,FW",20,6.0,200,172,28,6,1,2,20,10,10,4,5,0,147,0,1
Kadioglu,TUR,"DF,MF",25,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
Gómez,PAR,MF,22,5.0,268,252,16,2,4,2,9,1,3,2,0,0,213,0,8
Milner,ENG,MF,39,1.9,73,62,11,4,2,0,8,0,6,2,3,0,55,0,1
Enciso,PAR,"MF,FW",21,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
Ferguson,IRL,FW,20,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
Steele,ENG,GK,34,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
March,ENG,"FW,MF",30,1.9,95,81,14,1,0,1,20,6,6,3,2,1,60,0,7
Gilmour,SCO,MF,23,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
Cashin,IRL,DF,23,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
Moder,POL,MF,26,0.1,22,22,0,0,0,0,1,0,0,0,0,0,18,0,0
Sarmiento,ECU,MF,22,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
