Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Virgil van Dijk,NED,DF,33-309,36.0,2825,2603,220,82,1,22,1,8,0,0,0,0,2587,2,9
Salah,EGY,FW,32-332,35.5,1196,1165,25,7,17,3,74,18,0,0,0,0,848,6,56
Gravenberch,NED,MF,22-362,33.4,1823,1787,30,14,8,7,6,10,0,0,0,0,1619,6,14
Alexis Mac Allister,ARG,MF,26-140,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31
Konaté,FRA,DF,25-353,26.8,1784,1737,44,40,1,5,0,4,0,0,0,0,1611,3,9
Robertson,SCO,DF,31-063,26.6,1807,1512,289,48,4,5,139,184,57,39,11,0,1495,6,34
Alexander-Arnold,ENG,DF,26-218,25.8,1915,1610,295,60,11,31,145,186,49,32,10,1,1411,10,36
Szoboszlai,HUN,MF,24-200,26.3,1250,1139,110,18,5,12,36,36,14,9,4,0,1056,1,25
Díaz,COL,FW,28-120,25.6,842,824,16,2,2,8,31,13,1,0,0,0,711,2,23
Alisson,BRA,GK,32-223,25.9,857,746,109,38,1,1,0,0,0,0,0,0,712,2,1
Gakpo,NED,FW,26-006,19.8,592,574,16,4,3,4,69,11,1,0,0,0,449,2,10
Jones,ENG,"MF,DF",24-103,17.7,1007,949,56,10,2,2,6,27,1,0,0,0,938,2,10
Jota,POR,FW,28-160,13.0,296,291,3,0,1,2,8,1,0,0,0,0,207,2,13
Kelleher,IRL,GK,26-171,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1
Núñez,URU,FW,25-323,11.9,221,216,4,0,1,6,2,2,0,0,0,0,155,1,13
Tsimikas,GRE,DF,29-001,8.3,605,495,108,10,1,1,61,59,39,31,5,0,507,2,9
Gomez,ENG,DF,27-355,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2
Bradley,NIR,DF,21-308,7.0,467,397,68,13,0,2,6,55,0,0,0,0,391,2,11
Quansah,ENG,DF,22-104,4.5,322,300,22,10,0,1,2,12,0,0,0,0,293,0,2
Elliott,ENG,"MF,FW",22-039,3.1,229,210,16,2,1,3,11,7,5,2,1,0,186,3,4
Endo,JPN,MF,32-093,2.6,159,156,3,1,0,0,0,2,0,0,0,0,148,0,2
Chiesa,ITA,FW,27-200,0.5,26,25,1,0,0,0,2,1,0,0,0,0,22,0,1
Jaros,CZE,GK,23-294,0.1,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
Danns,ENG,MF,19-117,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
