Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Aït-Nouri,ALG,DF,23-342,32.8,1612,1311,297,41,3,4,88,230,26,21,1,0,1355,4,41,Matches
Gomes,BRA,MF,24-091,31.5,1519,1462,54,25,5,9,28,17,1,1,0,0,1292,3,24,Matches
Semedo,POR,DF,31-179,30.6,1263,1060,199,11,1,4,62,188,0,0,0,0,1012,4,35,Matches
Jørgen Strand Larsen,NOR,FW,25-097,27.7,435,423,12,0,1,2,6,0,0,0,0,0,275,0,18,Matches
André,BRA,MF,23-302,26.0,1268,1234,32,28,5,15,0,2,0,0,0,0,1176,2,14,Matches
Sá,POR,GK,32-117,28.0,887,673,211,63,1,0,0,0,0,0,0,0,569,3,1,Matches
Cunha,BRA,"MF,FW",25-352,27.6,1066,887,170,48,14,13,132,28,66,38,20,2,764,9,32,Matches
Gomes,POR,DF,26-118,27.0,1580,1491,88,40,0,3,13,34,0,0,0,0,1354,1,19,Matches
Doherty,IRL,DF,33-118,22.5,1261,1137,120,54,2,22,20,66,0,0,0,0,1042,4,14,Matches
Bellegarde,FRA,"MF,FW",26-321,17.6,540,521,18,7,5,4,41,2,3,3,0,0,424,1,20,Matches
Bueno,URU,DF,26-186,18.7,842,807,34,21,1,3,0,4,0,0,0,0,741,1,9,Matches
Lemina,GAB,"MF,DF",31-255,15.2,613,582,26,9,6,4,10,9,0,0,0,0,493,5,7,Matches
Agbadou,CIV,DF,27-331,13.7,865,825,37,27,1,11,2,0,0,0,0,0,740,3,4,Matches
Munetsi,ZIM,"MF,FW",28-326,10.8,185,178,7,0,1,0,6,1,0,0,0,0,132,0,3,Matches
Dawson,ENG,DF,35-008,10.8,559,528,30,20,1,11,0,0,0,0,0,0,484,1,0,Matches
Guedes,POR,"MF,FW",28-166,9.3,281,253,25,0,0,4,20,7,1,1,0,0,205,3,8,Matches
Johnstone,ENG,GK,32-050,7.0,278,230,47,22,0,0,0,0,0,0,0,0,184,1,2,Matches
Sarabia,ESP,"MF,FW",33-003,8.3,398,335,55,20,5,2,40,8,20,18,2,0,279,8,17,Matches
Gomes,POR,"DF,FW",21-311,7.8,267,236,31,1,1,0,21,29,1,0,1,0,180,0,8,Matches
Hee-chan,KOR,"MF,FW",29-108,7.2,195,181,13,2,1,0,8,6,0,0,0,0,159,1,8,Matches
Mosquera,COL,DF,24-012,4.9,240,230,9,4,0,1,2,0,0,0,0,0,205,1,3,Matches
Doyle,ENG,MF,23-209,5.4,392,353,35,19,0,6,15,3,12,6,4,0,321,4,8,Matches
Forbs,POR,"MF,FW",21-056,2.7,91,89,2,0,0,0,9,2,0,0,0,0,60,0,9,Matches
Bentley,ENG,GK,31-305,1.0,34,19,15,5,0,0,0,0,0,0,0,0,20,0,0,Matches
Lima,BRA,DF,18-317,0.8,38,31,7,0,0,0,5,7,0,0,0,0,28,0,2,Matches
Podence,POR,"MF,FW",29-205,0.5,16,15,1,1,0,0,1,0,0,0,0,0,11,0,2,Matches
Djiga,BFA,"DF,FW",22-180,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Chiquinho,POR,MF,25-098,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
Mane,,MF,,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Pond,ENG,DF,21-074,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Traoré,MLI,MF,23-267,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Total,,,27.7,36.0,16742,15108,1575,468,54,118,530,643,130,88,28,2,13521,59,308,
Total,,,27.0,36.0,18544,16809,1662,493,57,73,697,622,214,130,43,0,15246,73,342,
