Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Raya,ESP,GK,29-241,36.0,1362,1131,228,85,0,2,0,0,0,0,0,0,1010,3,0
Saliba,FRA,DF,24-051,33.3,2529,2478,46,36,1,10,3,4,0,0,0,0,2385,5,4
Rice,ENG,MF,26-120,29.4,1562,1356,201,70,4,17,157,4,102,88,3,0,1304,5,14
Partey,GHA,"MF,DF",31-335,29.1,1804,1705,93,25,6,2,12,62,0,0,0,0,1574,6,13
Magalhães,BRA,DF,27-146,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
Trossard,BEL,FW,30-161,27.0,897,862,27,5,7,5,82,6,10,9,0,0,665,8,39
Timber,NED,DF,23-331,26.9,1395,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
Ødegaard,NOR,MF,26-148,24.7,1435,1311,112,34,25,3,84,12,37,31,0,0,1188,12,25
Martinelli,BRA,"FW,MF",23-330,23.7,648,630,13,0,5,2,85,10,3,3,0,0,459,5,33
Havertz,GER,"FW,MF",25-337,20.4,511,503,6,1,1,0,11,5,0,0,0,0,401,2,11
Saka,ENG,"FW,MF",23-251,18.1,675,596,75,7,4,2,111,12,56,52,0,2,511,4,20
Merino,ESP,"MF,FW",28-326,16.6,565,555,5,4,5,1,13,1,0,0,0,0,442,5,12
Lewis-Skelly,ENG,DF,18-230,14.0,711,605,101,17,3,2,8,84,0,0,0,0,648,5,2
White,ENG,DF,27-218,11.3,578,483,93,19,1,7,14,70,0,0,0,0,482,2,6
Calafiori,ITA,DF,22-360,10.4,527,461,65,7,0,2,11,58,0,0,0,0,450,1,11
Nwaneri,ENG,"FW,MF",18-054,9.1,383,351,29,2,2,1,51,4,23,17,0,0,307,3,12
Jorginho,ITA,MF,33-145,7.8,473,465,8,7,4,1,1,0,0,0,0,0,410,0,5
Kiwior,POL,DF,25-088,10.5,628,598,29,9,2,1,1,3,0,0,0,0,572,1,1
Jesus,BRA,FW,28-041,6.8,203,197,3,0,1,0,7,3,0,0,0,0,156,3,12
Sterling,ENG,"FW,MF",30-157,4.9,183,180,1,0,0,1,14,0,1,0,0,0,141,2,7
Zinchenko,UKR,"DF,MF",28-150,5.1,380,335,42,11,2,3,10,29,1,0,0,0,315,3,3
Tierney,SCO,"DF,FW",27-343,2.2,119,101,18,4,0,0,10,14,0,0,0,0,97,0,2
Butler-Oyedeji,ENG,FW,22-130,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,JPN,DF,26-190,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Nelson,ENG,FW,25-155,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
