Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Caicedo,ECU,"MF,DF",23-193,35.2,2103,2026,73,46,12,13,10,27,0,0,0,0,1889,4,18
Palmer,ENG,MF,23-008,33.5,1406,1210,188,42,21,14,138,16,71,49,5,0,1083,8,46
Colwill,ENG,DF,22-077,33.0,2516,2331,181,83,3,7,13,6,0,0,0,0,2252,4,20
Cucurella,ESP,DF,26-296,31.2,1834,1568,259,28,2,1,31,229,2,0,0,0,1612,7,21
Fernández,ARG,MF,24-117,30.7,1830,1688,133,52,14,25,108,4,74,44,12,1,1468,9,43
Sánchez,ESP,GK,27-177,30.0,1184,1031,146,68,0,6,0,0,0,0,0,0,840,7,1
Jackson,SEN,FW,23-328,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
Madueke,ENG,FW,23-065,20.6,621,597,19,1,1,4,59,17,1,0,0,0,482,5,12
Neto,POR,FW,25-066,23.4,842,762,79,14,0,5,140,13,49,16,12,5,663,1,25
Gusto,FRA,DF,21-360,20.5,1379,1224,153,37,2,3,52,116,0,0,0,0,1194,2,26
Sancho,ENG,FW,25-050,18.9,779,767,11,1,7,1,24,9,1,1,0,0,643,1,23
Fofana,FRA,DF,24-148,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
Adarabioyo,ENG,DF,27-232,13.7,1081,1044,35,19,2,3,0,4,0,0,0,0,988,2,3
Chalobah,ENG,DF,25-313,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
Lavia,BEL,MF,21-128,8.4,414,409,3,3,3,3,0,0,0,0,0,0,381,2,1
James,ENG,"DF,MF",25-157,9.8,723,620,100,30,4,2,41,51,19,11,5,1,609,3,7
Nkunku,FRA,FW,27-181,10.2,334,327,7,1,2,1,4,0,2,0,0,0,299,0,3
Jørgensen,DEN,GK,23-028,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
Disasi,FRA,DF,27-064,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
Félix,POR,"FW,MF",25-185,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Badiashile,FRA,DF,24-049,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0
Dewsbury-Hall,ENG,"MF,FW",26-250,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Acheampong,ENG,DF,19-009,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Veiga,POR,"DF,MF",21-289,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
Mudryk,UKR,FW,24-129,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
George,ENG,FW,19-099,1.1,46,45,1,0,0,0,3,1,0,0,0,0,38,0,1
Guiu,ESP,FW,19-130,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
Amougou,FRA,MF,19-116,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Mheuka,ENG,MF,17-206,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
