player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Jordan Pickford,ENG,GK,31,36.0,1001,1505,66.5,31760,23629,145,146,99.3,438,445,98.4,417,904,46.1,1,0.4,0.2,0.6,2,71,8,0,0
James Tarkowski,ENG,DF,32,32.5,1045,1290,81.0,22119,8229,337,399,84.5,525,571,91.9,173,276,62.7,1,2.9,2.4,-1.9,16,83,11,0,75
Vitaliy Mykolenko,UKR,DF,25,32.2,925,1243,74.4,15504,6263,476,535,89.0,348,469,74.2,82,182,45.1,1,1.6,2.0,-0.6,20,97,37,22,107
Idrissa Gana Gueye,SEN,MF,35,32.0,1143,1323,86.4,19264,5152,575,634,90.7,455,502,90.6,96,133,72.2,3,1.7,1.9,1.3,19,141,10,3,136
Abdoulaye Doucouré,MLI,MF,32,27.6,694,870,79.8,10476,2204,363,426,85.2,255,308,82.8,42,57,73.7,2,2.3,1.2,-0.3,27,44,14,0,80
Jarrad Branthwaite,ENG,DF,22,27.1,936,1139,82.2,18352,7298,348,385,90.4,466,514,90.7,115,209,55.0,1,0.7,0.6,0.3,3,81,3,0,64
Iliman Ndiaye,SEN,FW,25,25.4,547,676,80.9,8207,1706,318,369,86.2,181,210,86.2,34,50,68.0,0,1.6,1.2,-1.6,17,35,14,5,52
Jack Harrison,ENG,FW,28,21.8,395,629,62.8,6325,2362,226,280,80.7,116,170,68.2,36,106,34.0,0,3.7,3.1,-3.7,33,27,25,11,48
Dominic Calvert-Lewin,ENG,FW,28,17.7,179,284,63.0,2089,488,129,184,70.1,36,61,59.0,3,8,37.5,1,0.6,0.7,0.4,7,19,5,1,19
Ashley Young,ENG,"DF,FW",39,19.0,642,914,70.2,11822,5391,305,347,87.9,251,329,76.3,80,194,41.2,3,2.1,2.5,0.9,22,73,20,10,85
James Garner,ENG,"MF,DF",24,15.7,525,702,74.8,9190,2847,228,266,85.7,237,287,82.6,50,107,46.7,1,1.3,1.3,-0.3,12,51,7,4,47
Jake O'Brien,IRL,DF,23,15.5,509,650,78.3,9400,3587,220,248,88.7,226,282,80.1,57,89,64.0,0,0.6,0.3,-0.6,6,41,8,5,43
Jesper Lindstrøm,DEN,FW,25,13.8,297,428,69.4,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,1,2.0,2.0,-1.0,19,18,12,7,25
Dwight McNeil,ENG,"MF,FW",25,14.4,431,584,73.8,7987,2656,200,231,86.6,153,188,81.4,68,129,52.7,5,3.9,3.9,1.1,34,38,34,10,64
Orel Mangala,BEL,MF,27,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34
Beto,GNB,FW,27,15.1,132,234,56.4,1779,209,80,118,67.8,36,74,48.6,7,8,87.5,0,0.8,0.3,-0.8,9,6,5,1,12
Michael Keane,ENG,DF,32,10.5,285,346,82.4,6454,2164,92,102,90.2,129,142,90.8,62,84,73.8,0,0.1,0.0,-0.1,2,20,0,0,12
Carlos Alcaraz,ARG,"FW,MF",22,7.4,200,251,79.7,3629,939,85,100,85.0,86,97,88.7,23,35,65.7,3,1.6,0.6,1.4,13,19,18,3,40
Tim Iroegbunam,ENG,MF,21,6.4,115,158,72.8,1921,621,54,73,74.0,42,50,84.0,14,20,70.0,1,0.2,0.1,0.8,3,10,1,0,15
Armando Broja,ALB,FW,23,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2
Nathan Patterson,SCO,DF,23,3.9,130,176,73.9,2272,806,65,72,90.3,52,75,69.3,12,24,50.0,1,0.4,0.4,0.6,4,9,5,3,13
Séamus Coleman,IRL,DF,36,2.2,60,82,73.2,1087,516,29,31,93.5,25,32,78.1,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,9
Roman Dixon,ENG,DF,20,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0
Harrison Armstrong,ENG,MF,18,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1
Youssef Chermiti,POR,"FW,MF",20,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Mason Holgate,ENG,"FW,DF",28,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,28,36.0,10707,14094,76.0,202309,80210,4736,5477,86.5,4326,5129,84.3,1436,2738,52.4,25,29.0,25.5,-4.0,281,947,245,86,984
Opponent Total,,,27,36.0,16980,20490,82.9,290065,96043,7884,8689,90.7,7461,8433,88.5,1286,2485,51.8,35,33.0,32.5,2.0,346,1300,315,73,1539
