player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Dara O'Shea,IRL,DF,26,32.7,1146,1474,77.7,22826,9910,366,422,86.7,644,755,85.3,125,254,49.2,2,0.5,0.7,1.5,3,83,3,1,73
Liam Delap,ENG,FW,22,28.4,216,353,61.2,2980,654,121,171,70.8,68,107,63.6,9,24,37.5,2,1.9,1.4,0.1,21,17,6,0,30
Leif Davis,ENG,DF,25,28.5,854,1194,71.5,14708,5905,398,463,86.0,367,474,77.4,75,201,37.3,2,4.3,4.2,-2.3,54,30,26,11,55
Sam Morsy,EGY,MF,33,28.6,1150,1332,86.3,18505,5059,593,636,93.2,454,498,91.2,74,127,58.3,1,0.9,1.1,0.1,20,133,13,2,107
Omari Hutchinson,ENG,"MF,FW",21,26.7,628,807,77.8,9896,1800,319,362,88.1,264,313,84.3,32,64,50.0,2,3.3,2.2,-1.3,28,44,24,13,71
Jacob Greaves,ENG,DF,24,22.5,861,1004,85.8,14211,5498,401,433,92.6,411,460,89.3,34,81,42.0,0,0.2,0.2,-0.2,4,65,2,0,56
Jens Cajuste,SWE,MF,25,20.1,583,707,82.5,9620,1950,265,299,88.6,275,320,85.9,29,58,50.0,0,0.6,0.6,-0.6,11,45,5,1,46
Arijanet Muric,KVX,GK,26,18.0,454,633,71.7,11705,8247,122,122,100.0,215,221,97.3,115,283,40.6,0,0.0,0.0,0.0,0,14,0,0,1
Axel Tuanzebe,COD,DF,27,17.0,581,697,83.4,8955,3493,318,348,91.4,226,274,82.5,25,45,55.6,1,0.3,0.2,0.7,4,53,3,0,49
Cameron Burgess,AUS,DF,29,17.1,626,774,80.9,11461,5485,259,285,90.9,295,340,86.8,64,127,50.4,2,0.5,0.4,1.5,7,47,4,0,42
Ben Johnson,ENG,"DF,FW",25,15.0,298,416,71.6,4835,2045,170,197,86.3,101,135,74.8,24,49,49.0,2,1.3,0.9,0.7,12,22,3,2,27
Kalvin Phillips,ENG,MF,29,13.7,436,551,79.1,8581,2474,162,195,83.1,208,240,86.7,60,98,61.2,0,0.2,0.5,-0.2,5,49,6,1,51
Sammie Szmodics,IRL,"FW,MF",29,10.9,144,194,74.2,2402,702,67,77,87.0,54,64,84.4,15,29,51.7,0,0.2,0.5,-0.2,4,10,4,1,18
Luke Woolfenden,ENG,DF,26,13.2,496,562,88.3,9196,3071,178,184,96.7,274,292,93.8,39,74,52.7,0,0.0,0.0,0.0,0,31,0,0,15
Alex Palmer,ENG,GK,28,12.0,271,394,68.8,8007,5807,55,57,96.5,122,122,100.0,94,215,43.7,0,0.0,0.0,0.0,1,8,0,0,1
Wes Burns,WAL,"FW,DF",30,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8
Jack Clarke,ENG,"FW,MF",24,12.1,276,360,76.7,4537,1153,140,161,87.0,118,137,86.1,15,30,50.0,4,2.1,1.0,1.9,25,27,7,0,38
Julio Enciso,PAR,"FW,MF",21,8.9,161,232,69.4,2592,771,77,99,77.8,64,88,72.7,10,20,50.0,3,1.3,1.0,1.7,11,16,7,1,25
Conor Chaplin,ENG,"MF,FW",28,8.5,200,274,73.0,3236,827,93,115,80.9,94,116,81.0,8,22,36.4,1,0.7,0.6,0.3,8,20,7,2,27
Nathan Broadhead,WAL,"MF,FW",27,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12
Christian Walton,ENG,GK,29,6.0,152,226,67.3,4170,2976,41,41,100.0,69,71,97.2,42,114,36.8,0,0.0,0.0,0.0,1,1,0,0,0
Jaden Philogene Bidace,ENG,"FW,DF",23,5.3,95,131,72.5,1536,414,54,64,84.4,30,41,73.2,6,12,50.0,0,0.2,0.2,-0.2,5,7,4,3,10
Jack Taylor,IRL,MF,26,9.2,328,394,83.2,5836,1570,143,163,87.7,154,174,88.5,26,44,59.1,0,0.5,0.8,-0.5,5,29,8,1,42
Harry Clarke,ENG,DF,24,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14
George Hirst,SCO,FW,26,5.8,60,107,56.1,705,188,41,61,67.2,13,25,52.0,1,2,50.0,1,0.3,0.3,0.7,4,1,4,0,13
Conor Townsend,ENG,DF,32,3.7,80,127,63.0,1418,756,32,39,82.1,41,55,74.5,7,24,29.2,1,0.7,0.2,0.3,4,7,2,2,8
