Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
André Onana,cm CMR,GK,29-041,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Bruno Fernandes,pt POR,MF,30-247,34,33,2848,31.6,8,9,17,5,3,3,4,2,9.6,7.2,8.1,15.3,67,295,120,0.25,0.28,0.54,0.16,0.44,0.30,0.26,0.56,0.23,0.48,Matches
Noussair Mazraoui,ma MAR,DF,27-180,35,32,2729,30.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,41,110,51,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.07,0.02,0.07,Matches
Diogo Dalot,pt POR,DF,26-056,32,31,2788,31.0,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,102,164,0.00,0.10,0.10,0.00,0.10,0.06,0.07,0.13,0.06,0.13,Matches
Matthijs de Ligt,nl NED,DF,25-274,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Matches
Alejandro Garnacho,ar ARG,"MF,FW",20-316,35,23,2178,24.2,6,2,8,6,0,0,3,0,7.3,7.3,4.5,11.8,140,56,290,0.25,0.08,0.33,0.25,0.33,0.30,0.19,0.49,0.30,0.49,Matches
Manuel Ugarte Ribeiro,uy URU,MF,24-032,28,22,1764,19.6,1,2,3,1,0,0,10,0,1.0,1.0,1.1,2.1,16,60,20,0.05,0.10,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,Matches
Rasmus Højlund,dk DEN,FW,22-098,30,21,1834,20.4,4,0,4,4,0,0,2,0,5.2,5.2,1.3,6.4,27,17,94,0.20,0.00,0.20,0.20,0.20,0.25,0.06,0.31,0.25,0.31,Matches
Lisandro Martínez,ar ARG,DF,27-115,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
Kobbie Mainoo,eng ENG,MF,20-024,23,19,1596,17.7,0,0,0,0,0,0,5,0,0.7,0.7,1.6,2.3,22,64,45,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
Amad Diallo,ci CIV,"FW,MF",22-306,24,18,1721,19.1,7,6,13,7,0,0,3,0,4.2,4.2,4.6,8.8,99,57,175,0.37,0.31,0.68,0.37,0.68,0.22,0.24,0.46,0.22,0.46,Matches
Harry Maguire,eng ENG,DF,32-069,25,17,1578,17.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.3,6,46,7,0.06,0.00,0.06,0.06,0.06,0.10,0.03,0.13,0.10,0.13,Matches
Casemiro,br BRA,MF,33-079,22,16,1335,14.8,1,0,1,1,0,0,3,0,1.7,1.7,2.3,3.9,4,70,26,0.07,0.00,0.07,0.07,0.07,0.11,0.15,0.27,0.11,0.27,Matches
Joshua Zirkzee,nl NED,"FW,MF",23-356,32,14,1402,15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Matches
Leny Yoro,fr FRA,DF,19-181,21,12,1165,12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Marcus Rashford,eng ENG,"FW,MF",27-194,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
Christian Eriksen,dk DEN,MF,33-088,22,11,1036,11.5,0,2,2,0,0,0,4,0,0.4,0.4,3.1,3.6,12,55,29,0.00,0.17,0.17,0.00,0.17,0.04,0.27,0.31,0.04,0.31,Matches
Patrick Dorgu,dk DEN,DF,20-199,10,8,662,7.4,0,0,0,0,0,0,3,1,0.4,0.4,0.4,0.8,30,25,58,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
Mason Mount,eng ENG,MF,26-123,15,6,488,5.4,1,0,1,1,0,0,3,0,2.3,2.3,0.5,2.8,12,25,28,0.18,0.00,0.18,0.18,0.18,0.43,0.09,0.52,0.43,0.52,Matches
Victor Lindelöf,se SWE,DF,30-300,14,4,524,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,15,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Harry Amass,eng ENG,DF,18-058,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,7,23,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
Jonny Evans,nir NIR,DF,37-130,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Altay Bayındır,tr TUR,GK,27-029,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luke Shaw,eng ENG,DF,29-305,6,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,7,23,7,0.00,0.00,0.00,0.00,0.00,0.01,0.24,0.25,0.01,0.25,Matches
Tyler Fredricson,eng ENG,DF,20-079,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tyrell Malacia,nl NED,DF,25-269,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Chidozie Obi-Martin,dk DEN,FW,17-165,6,1,155,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,1,12,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
Ayden Heaven,eng ENG,DF,18-233,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
