player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Emiliano Martínez,ARG,GK,32,34.0,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6
Youri Tielemans,BEL,MF,28,33.3,83,57,31,44,8,40,73,54.8,33,37,16,21,22,105,47,4
Morgan Rogers,ENG,"FW,MF",22,32.7,40,21,15,14,11,22,44,50.0,22,26,7,19,5,45,20,2
Ezri Konsa,ENG,DF,27,30.6,32,17,19,9,4,18,23,78.3,5,18,10,8,21,53,107,4
Ollie Watkins,ENG,FW,29,26.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
Lucas Digne,FRA,DF,31,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
John McGinn,SCO,"MF,FW",30,23.0,31,22,10,13,8,11,29,37.9,18,21,2,19,14,45,17,3
Matty Cash,POL,DF,27,21.0,50,29,26,20,4,25,36,69.4,11,20,8,12,21,71,63,2
Pau Torres,ESP,DF,28,20.4,20,14,11,7,2,9,15,60.0,6,14,10,4,9,29,66,2
Jacob Ramsey,ENG,"FW,MF",23,17.7,30,15,14,10,6,10,20,50.0,10,23,4,19,8,38,8,1
Boubacar Kamara,FRA,MF,25,17.3,49,20,28,17,4,28,55,50.9,27,17,7,10,19,68,50,3
Amadou Onana,BEL,MF,23,16.3,49,24,22,23,4,14,27,51.9,13,15,7,8,25,74,41,3
Leon Bailey,JAM,"FW,MF",27,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0
Tyrone Mings,ENG,DF,32,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
Ian Maatsen,NED,DF,23,10.7,27,15,16,8,3,16,22,72.7,6,11,0,11,15,42,34,2
Diego Carlos,BRA,DF,32,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2
Marco Asensio,ESP,MF,29,6.8,7,5,0,7,0,3,9,33.3,6,4,0,4,2,9,3,0
Axel Disasi,FRA,DF,27,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0
Lamare Bogarde,NED,"DF,MF",21,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
Andrés García,ESP,"DF,MF",22,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2
Jáder Durán,COL,FW,21,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
Marcus Rashford,ENG,FW,27,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
Ross Barkley,ENG,MF,31,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
Jaden Philogene Bidace,ENG,"FW,MF",23,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
Donyell Malen,NED,FW,26,3.3,7,4,3,3,1,1,4,25.0,3,1,0,1,0,7,1,0
Robin Olsen,SWE,GK,35,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
Kosta Nedeljković,SRB,DF,19,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
Emi Buendía,ARG,"MF,FW",28,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0
Squad Total,,,27,36.0,612,353,285,239,88,292,524,55.7,232,312,104,208,231,843,758,42
Opponent Total,,,27,36.0,656,368,306,250,100,288,593,48.6,305,398,129,269,327,983,811,28
