Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Raya,ESP,GK,29-241,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,19,6,Matches
Saliba,FRA,DF,24-051,33.3,62,37,37,23,2,21,28,75.0,7,25,15,10,21,83,116,6,Matches
Rice,ENG,MF,26-120,29.4,52,24,21,25,6,16,37,43.2,21,24,11,13,25,77,44,0,Matches
Partey,GHA,"MF,DF",31-335,29.1,84,51,24,38,22,44,72,61.1,28,26,7,19,34,118,47,4,Matches
Magalhães,BRA,DF,27-146,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2,Matches
Trossard,BEL,FW,30-161,27.0,28,19,5,14,9,10,32,31.3,22,32,0,32,9,37,17,0,Matches
Timber,NED,DF,23-331,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1,Matches
Ødegaard,NOR,MF,26-148,24.7,19,11,9,7,3,4,24,16.7,20,5,0,5,5,24,5,1,Matches
Martinelli,BRA,"FW,MF",23-330,23.7,20,15,8,5,7,7,23,30.4,16,12,0,12,4,24,17,0,Matches
Havertz,GER,"FW,MF",25-337,20.4,16,9,3,6,7,4,15,26.7,11,22,4,18,6,22,31,1,Matches
Saka,ENG,"FW,MF",23-251,18.1,24,13,7,10,7,11,22,50.0,11,22,0,22,3,27,8,0,Matches
Merino,ESP,"MF,FW",28-326,16.6,43,26,7,24,12,18,33,54.5,15,18,5,13,15,58,25,2,Matches
Lewis-Skelly,ENG,DF,18-230,14.0,22,14,10,9,3,10,10,100.0,0,2,1,1,6,28,23,0,Matches
White,ENG,DF,27-218,11.3,17,11,10,4,3,14,31,45.2,17,9,7,2,16,33,36,0,Matches
Calafiori,ITA,DF,22-360,10.4,26,18,15,9,2,18,29,62.1,11,12,6,6,9,35,25,0,Matches
Nwaneri,ENG,"FW,MF",18-054,9.1,11,7,4,4,3,7,18,38.9,11,8,2,6,2,13,4,1,Matches
Jorginho,ITA,MF,33-145,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2,Matches
Kiwior,POL,DF,25-088,10.5,15,7,8,5,2,10,13,76.9,3,8,5,3,4,19,41,2,Matches
Jesus,BRA,FW,28-041,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0,Matches
Sterling,ENG,"FW,MF",30-157,4.9,8,4,1,2,5,4,8,50.0,4,3,0,3,1,9,3,0,Matches
Zinchenko,UKR,"DF,MF",28-150,5.1,4,1,1,2,1,2,7,28.6,5,6,1,5,4,8,6,0,Matches
Tierney,SCO,"DF,FW",27-343,2.2,6,5,4,1,1,4,6,66.7,2,0,0,0,2,8,5,0,Matches
Butler-Oyedeji,ENG,FW,22-130,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Tomiyasu,JPN,DF,26-190,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Nelson,ENG,FW,25-155,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Total,,,26.6,36.0,563,335,208,237,118,246,483,50.9,237,308,98,210,217,780,621,28,
Total,,,27.0,36.0,660,399,383,204,73,302,604,50.0,302,385,164,221,249,909,975,36,
