Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Martínez,ARG,GK,32-254,34.0,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6,Matches
Tielemans,BEL,MF,28-007,33.3,83,57,31,44,8,40,73,54.8,33,37,16,21,22,105,47,4,Matches
Rogers,ENG,"FW,MF",22-292,32.7,40,21,15,14,11,22,44,50.0,22,26,7,19,5,45,20,2,Matches
Konsa,ENG,DF,27-203,30.6,32,17,19,9,4,18,23,78.3,5,18,10,8,21,53,107,4,Matches
Watkins,ENG,FW,29-135,26.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2,Matches
Digne,FRA,DF,31-298,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1,Matches
McGinn,SCO,"MF,FW",30-208,23.0,31,22,10,13,8,11,29,37.9,18,21,2,19,14,45,17,3,Matches
Cash,POL,DF,27-280,21.0,50,29,26,20,4,25,36,69.4,11,20,8,12,21,71,63,2,Matches
Torres,ESP,DF,28-118,20.4,20,14,11,7,2,9,15,60.0,6,14,10,4,9,29,66,2,Matches
Ramsey,ENG,"FW,MF",23-351,17.7,30,15,14,10,6,10,20,50.0,10,23,4,19,8,38,8,1,Matches
Kamara,FRA,MF,25-172,17.3,49,20,28,17,4,28,55,50.9,27,17,7,10,19,68,50,3,Matches
Onana,BEL,MF,23-271,16.3,49,24,22,23,4,14,27,51.9,13,15,7,8,25,74,41,3,Matches
Bailey,JAM,"FW,MF",27-278,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,Matches
Mings,ENG,DF,32-062,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1,Matches
Maatsen,NED,DF,23-065,10.7,27,15,16,8,3,16,22,72.7,6,11,0,11,15,42,34,2,Matches
Carlos,BRA,DF,32-060,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Matches
Asensio,ESP,MF,29-113,6.8,7,5,0,7,0,3,9,33.3,6,4,0,4,2,9,3,0,Matches
Disasi,FRA,DF,27-064,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0,Matches
Bogarde,NED,"DF,MF",21-129,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,Matches
García,ESP,"DF,MF",22-096,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2,Matches
Durán,COL,FW,21-152,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0,Matches
Rashford,ENG,FW,27-195,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0,Matches
Barkley,ENG,MF,31-160,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0,Matches
Jaden Philogene Bidace,ENG,"FW,MF",23-095,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1,Matches
Malen,NED,FW,26-125,3.3,7,4,3,3,1,1,4,25.0,3,1,0,1,0,7,1,0,Matches
Olsen,SWE,GK,35-126,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,Matches
Nedeljković,SRB,DF,19-149,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0,Matches
Buendía,ARG,"MF,FW",28-140,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Matches
Total,,,27.8,36.0,612,353,285,239,88,292,524,55.7,232,312,104,208,231,843,758,42,
Total,,,27.2,36.0,656,368,306,250,100,288,593,48.6,305,398,129,269,327,983,811,28,
